device,l_um,metric,supply_class,rds_target_ohm,target_meaning,w_required_mm_worst_case,worst_corner,worst_temp_c,worst_vin_v,w_required_mm_best_case,best_corner,best_temp_c,best_vin_v,n_cases_solved,n_cases_below_swept_widths,n_cases_above_swept_widths,worst_case_bounded
pfet_06v0,0.70u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,5.44536,ss,125,4.50,2.04252,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,4.15739,ss,125,4.50,1.57463,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,2.92717,ss,125,4.50,1.09308,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,13.1348,ss,125,2.10,4.89345,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,10.1505,ss,125,2.10,3.78975,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,7.25553,ss,125,2.10,2.74438,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,8.1291,ss,125,2.97,2.66756,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,6.23245,ss,125,2.97,2.02757,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,4.29009,ss,125,2.97,1.40705,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,5.26521,ss,125,4.50,1.97805,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,3.9828,ss,125,4.50,1.50342,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,2.72268,ss,125,4.50,1.02126,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,12.3552,ss,125,2.10,4.5729,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,9.2664,ss,125,2.10,3.42967,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,6.1776,ss,125,2.10,2.28645,ff,-40,2.10,15,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,7.86011,ss,125,2.97,2.5757,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,5.89508,ss,125,2.97,1.93178,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,3.93005,ss,125,2.97,1.28785,ff,-40,3.63,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,5.14955,ss,125,4.50,1.93649,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,3.86216,ss,125,4.50,1.45236,ff,-40,5.50,45,0,0,yes
pfet_06v0,0.70u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,2.57477,ss,125,4.50,1.00822,sf,-40,5.50,44,1,0,yes
pfet_06v0,1.20u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,13.9026,sf,27,2.10,10.2598,ff,-40,2.10,5,2,8,NO - lower bound only
pfet_06v0,1.20u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,14.3488,sf,125,2.10,8.11385,ff,-40,2.10,7,5,3,NO - lower bound only
pfet_06v0,1.20u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,11.436,sf,125,2.10,8.17555,typical,-40,2.10,4,11,0,yes
pfet_06v0,1.20u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,14.7659,ss,125,2.97,5.02186,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,11.594,ss,125,2.97,3.87404,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,8.24537,ss,125,2.97,2.80083,ff,-40,3.63,40,5,0,yes
pfet_06v0,1.20u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,9.16377,ss,125,4.50,3.57568,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,7.03623,ss,125,4.50,2.74042,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,4.9104,ss,125,4.50,1.89615,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,15.0503,ff,125,2.10,9.17637,ff,-40,2.10,9,0,6,NO - lower bound only
pfet_06v0,1.20u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,14.1833,typical,125,2.10,7.14081,ff,-40,2.10,13,0,2,NO - lower bound only
pfet_06v0,1.20u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,12.7995,ss,125,2.10,5.12991,ff,-40,2.10,13,2,0,yes
pfet_06v0,1.20u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,13.9735,ss,125,2.97,4.78488,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,10.6835,ss,125,2.97,3.644,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,7.38292,ss,125,2.97,2.51093,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,8.87545,ss,125,4.50,3.47253,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,6.73446,ss,125,4.50,2.63093,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,4.58188,ss,125,4.50,1.78784,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,15.5861,fs,27,2.10,8.60155,ff,-40,2.10,11,0,4,NO - lower bound only
pfet_06v0,1.20u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,14.9762,fs,125,2.10,6.45116,ff,-40,2.10,14,0,1,NO - lower bound only
pfet_06v0,1.20u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,10.7652,ss,125,2.10,4.30078,ff,-40,2.10,15,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,13.4733,ss,125,2.97,4.63808,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,10.105,ss,125,2.97,3.47856,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,6.73666,ss,125,2.97,2.31904,ff,-40,3.63,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,8.69331,ss,125,4.50,3.40448,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,6.51998,ss,125,4.50,2.55336,ff,-40,5.50,45,0,0,yes
pfet_06v0,1.20u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,4.34665,ss,125,4.50,1.70224,ff,-40,5.50,45,0,0,yes
