device,mim_corner,temp_c,vbias_v,w_um,l_um,area_um2,c_f,c_density_ff_per_um2
cap_mim_2f0_m2m3_noshield,mimcap_ff,27,3.30,30,30,900,1.63768E-12,1.81965
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,3.30,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m4m5_noshield,mimcap_ff,27,3.30,10,10,100,1.37036E-13,1.37036
cap_mim_1f5_m5m6_noshield,mimcap_ff,27,3.30,10,10,100,1.37036E-13,1.37036
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,-1.65,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,-1.65,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,-1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,-1.65,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,-1.65,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,-1.65,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,-1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,-1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,-1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,0,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,0,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,0,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,0,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,0,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,0,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,0,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,0,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,0,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,0.825,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,0.825,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,0.825,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,0.825,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,0.825,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,0.825,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,0.825,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,0.825,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,0.825,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,1.65,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,1.65,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,1.65,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,1.65,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,1.65,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,1.65,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,2.50,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,2.50,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,2.50,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,2.50,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,2.50,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,2.50,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,2.50,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,2.50,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,2.50,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,3.30,10,10,100,1.00836E-13,1.00836
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,3.30,30,30,900,8.36156E-13,0.929062
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,3.30,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,3.30,30,30,900,1.16026E-12,1.28918
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,3.30,10,10,100,1.87849E-13,1.87849
cap_mim_2f0_m2m3_noshield,mimcap_ff,125,3.30,30,30,900,1.63912E-12,1.82124
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,3.30,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m4m5_noshield,mimcap_ff,125,3.30,10,10,100,1.37487E-13,1.37487
cap_mim_1f5_m5m6_noshield,mimcap_ff,125,3.30,10,10,100,1.37487E-13,1.37487
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,-1.65,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,-1.65,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,-1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,-1.65,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,-1.65,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,-1.65,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,-1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,-1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,-1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,0,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,0,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,0,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,0,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,0,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,0,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,0,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,0,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,0,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,0.825,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,0.825,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,0.825,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,0.825,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,0.825,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,0.825,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,0.825,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,0.825,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,0.825,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,1.65,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,1.65,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,1.65,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,1.65,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,1.65,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,1.65,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,2.50,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,2.50,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,2.50,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,2.50,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,2.50,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,2.50,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,2.50,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,2.50,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,2.50,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,3.30,10,10,100,1.22983E-13,1.22983
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,3.30,30,30,900,1.0198E-12,1.13312
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,3.30,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,3.30,30,30,900,1.57596E-12,1.75107
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,3.30,10,10,100,2.29114E-13,2.29114
cap_mim_2f0_m2m3_noshield,mimcap_ss,-40,3.30,30,30,900,1.99919E-12,2.22132
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,3.30,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m4m5_noshield,mimcap_ss,-40,3.30,10,10,100,1.86746E-13,1.86746
cap_mim_1f5_m5m6_noshield,mimcap_ss,-40,3.30,10,10,100,1.86746E-13,1.86746
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,-1.65,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,-1.65,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,-1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,-1.65,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,-1.65,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,-1.65,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,-1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,-1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,-1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,0,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,0,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,0,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,0,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,0,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,0,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,0,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,0,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,0,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,0.825,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,0.825,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,0.825,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,0.825,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,0.825,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,0.825,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,0.825,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,0.825,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,0.825,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,1.65,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,1.65,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,1.65,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,1.65,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,1.65,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,1.65,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,2.50,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,2.50,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,2.50,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,2.50,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,2.50,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,2.50,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,2.50,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,2.50,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,2.50,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,3.30,10,10,100,1.23093E-13,1.23093
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,3.30,30,30,900,1.02072E-12,1.13413
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,3.30,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,3.30,30,30,900,1.58072E-12,1.75636
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,3.30,10,10,100,2.29392E-13,2.29392
cap_mim_2f0_m2m3_noshield,mimcap_ss,27,3.30,30,30,900,2.00161E-12,2.22402
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,3.30,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m4m5_noshield,mimcap_ss,27,3.30,10,10,100,1.8731E-13,1.8731
cap_mim_1f5_m5m6_noshield,mimcap_ss,27,3.30,10,10,100,1.8731E-13,1.8731
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,-1.65,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,-1.65,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,-1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,-1.65,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,-1.65,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,-1.65,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,-1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,-1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,-1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,0,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,0,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,0,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,0,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,0,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,0,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,0,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,0,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,0,10,10,100,1.87926E-13,1.87926
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,0.825,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,0.825,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,0.825,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,0.825,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,0.825,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,0.825,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,0.825,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,0.825,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,0.825,10,10,100,1.87926E-13,1.87926
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,1.65,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,1.65,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,1.65,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,1.65,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,1.65,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,1.65,10,10,100,1.87926E-13,1.87926
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,2.50,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,2.50,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,2.50,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,2.50,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,2.50,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,2.50,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,2.50,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,2.50,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,2.50,10,10,100,1.87926E-13,1.87926
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,3.30,10,10,100,1.23244E-13,1.23244
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,3.30,30,30,900,1.02197E-12,1.13552
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,3.30,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,3.30,30,30,900,1.58592E-12,1.76214
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,3.30,10,10,100,2.29593E-13,2.29593
cap_mim_2f0_m2m3_noshield,mimcap_ss,125,3.30,30,30,900,2.00337E-12,2.22596
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,3.30,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m4m5_noshield,mimcap_ss,125,3.30,10,10,100,1.87926E-13,1.87926
cap_mim_1f5_m5m6_noshield,mimcap_ss,125,3.30,10,10,100,1.87926E-13,1.87926
